inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,type
10,10,1,0,0,0,842.75,15840,2,8,0.75,6,alexa
27,60,1,42,0,0,237.3448276,19256,31,29,0.517241379,15,alexa
3,6,1,2,0,0,79.33333333,660,3,3,1,3,alexa
16,32,2,5,0,0,182.1052632,10213,13,19,0.631578947,12,alexa
11,28,2,2,1,0,159.4545455,10434,4,22,0.727272727,16,alexa
24,11,2,1,2,0,907.7142857,16894,3,7,1,7,alexa
8,27,2,0,0,0,58.26666667,3235,12,15,0.333333333,5,alexa
10,11,1,0,0,0,335.4285714,5991,4,7,1,7,alexa
0,2,1,0,0,0,0,0,2,0,0,0,phish
9,9,1,0,0,0,234.375,5948,1,8,0.75,6,phish
6,16,1,0,0,0,502,20409,5,9,0.888888889,8,alexa
47,58,2,2,0,0,203.5263158,21255,13,38,0.894736842,34,alexa
8,15,2,0,0,0,587.6,17883,5,10,0.2,2,alexa
1,3,1,1,0,0,450,2341,1,2,0.5,1,alexa
9,13.5,2,0,0,0,76.55555556,1973,5,9,0.777777778,7,alexa
4,34,1,1,0,0,431.5,45636,11,22,0.318181818,7,alexa
19,24,1,10,0,0,390.1052632,17980,4,19,0.473684211,9,alexa
5,7,1,0,0,0,53.66666667,286,4,3,1,3,alexa
31,7,1,0,0,0,3863,5232,4,1,1,1,alexa
4,1,1,4,0,0,896,2329,0,1,1,1,alexa
8,18,1,4,0,0,681.4545455,22081,7,11,0.727272727,8,alexa
0,3,1,0,0,0,4,15,2,1,0,0,alexa
0,0,1,0,0,0,0,0,0,0,0,0,phish
6,16,2,0,0,0,362.375,9169,8,8,0.875,7,alexa
4,17,1,0,0,0,49.4,1382,7,10,0.5,5,alexa
12,24.33333333,3,22,0,0,361.6875,27508,8,16,0.5625,9,alexa
0,0,1,0,0,0,0,0,0,0,0,0,alexa
6,34.5,2,0,0,0,555.2777778,35625,3,18,0.888888889,16,alexa
1,2,1,1,0,0,81,399,1,1,0,0,phish
1,1,1,0,0,0,896,2329,0,1,1,1,phish
3,11,2,0,0,0,405,9286,4,7,0.857142857,6,alexa
34,24,1,5,0,0,47.84615385,3811,8,13,0.076923077,1,alexa
9,12.5,2,0,0,0,73.375,1825,5,8,0.75,6,alexa
0,0,1,0,0,0,0,0,0,0,0,0,phish
1,0,1,0,0,0,0,0,0,0,0,0,alexa
1,1,1,0,0,0,0,0,1,0,0,0,phish
3,18,2,0,0,0,129.6666667,10799,4,12,1,12,phish
1,0,1,0,0,0,0,0,0,0,0,0,phish
23.33333333,39.66666667,3,0,1,0,277.46875,30507,5,32,0.75,24,alexa
4,8.5,2,0,0,0,308.6666667,6116,2,6,0.833333333,5,alexa
2,1,1,0,0,0,181,426,0,1,1,1,phish
1,1,1,1,0,0,0,0,1,0,0,0,alexa
9,8,2,0,2,0,618.875,12891,1,8,1,8,alexa
10,7,1,5,0,0,719.5714286,13447,0,7,1,7,alexa
0,0,1,1,0,0,0,0,0,0,0,0,phish
32.5,29,2,0,0,0,190.875,17728,7,24,0.333333333,8,alexa
5,14.5,2,0,0,0,231.4444444,5987,6,9,0.888888889,8,alexa
9,41.5,2,0,0,0,340.8823529,22646,25,17,0.529411765,9,alexa
21,17,2,6,1,0,1056.636364,24989,4,11,0.727272727,8,alexa
16,36.66666667,3,0,15,0,219.7575758,21502,7,33,0.909090909,30,alexa
37,31.5,2,0,1,0,508.4090909,47323,7,22,0.636363636,14,alexa
11,17,1,0,0,0,180.25,6654,5,12,0.583333333,7,alexa
3,1,1,0,0,0,558,1325,0,1,1,1,phish
5,11,1,0,0,0,175.3333333,4540,2,9,0.888888889,8,alexa
0,0,1,0,0,0,0,0,0,0,0,0,phish
